text;re_labelled
"#polresbogorhadir 
#polresbogor
#polsekparung

Pelaksanaan Apel dan Giat KRYD Gabungan 3 Pilar Di Pimpin Pawas IPDA BAMBANG INDRA. S., bersama TNI Polri dan Satpol PP patroli di wilayah Polsek Parung antisipasi C3, Razia Miras, Knalpot Brong, Balap Liar, Tawuran. https://t.co/CMehvkRkPn";HAM
Semoga kita dijauhkan dari pengkhianatan sebab kehormatan sesungguhnya adalah kesetian di garis rakyat melawan penindasan.;HAM
@JOGJAMEMANGGlL MASHOOOK;HAM
@mnijunggkook Jambret hpnya;HAM
Polsek Kedamean Laksanakan Patroli Dialogis, Wujudkan Keamanan dan Kedekatan dengan Masyarakat, antisipasi gesekan antar perguruan silat dan kejahatan jalanan (17/07/2025) #polriuntukmasyarakat https://t.co/HMws0sy6uf;HAM
@detikcom Padahal Boeing pesawatnya sering error dan kecelakaan ?? dan whistleblower-nya mendadak ditemukan ??;HAM
@Jateng_Twit tetep teko neng lokasi aku ??;HAM
09.26 WIB #Kecelakaan_Purbaleunyi di Darangdan KM 98+800 arah Jakarta kendaraan Truk SELESAI penanganan.;HAM
@sayayadya2 malioboro?;HAM
"Open jasa lacak lokasi??
- HP HILANG
- PENIPU
- TEROR
- TABRAK LARI (NO POL)
- PERSELINGKUHAN 
- VIRTEX 
Yang mau nyari jasa lacak bisa ya dm langsung wa ada si bio,kalau jelas kasus nya bisa di bantu

#zonauang
#zonajajan
#zonaba";SPAM
Pakai Knalpot Brong, Dua Pelajar Berseragam Pramuka Disetop Polisi, Guru Dipanggil https://t.co/FjbOYLupIb;HAM
"Kocak banget cahol ku di jambret orang????
Mana ada PC sunwoo guguk lagi puqi";HAM
"Jam 2 esuk!!
Bunderan Siyono GK ?? https://t.co/el49e7WKy8";HAM
Boeing telah lama dikenal sebagai pesawat berbadan besar dengan kemampuan terbang jauh. Pada kenyataannya, pesawat ini beberapa kali kecelakaan. https://t.co/AJzi5qouDh;HAM
@rurulistyana jebule hooh;HAM
"Sugeng tindak kagem Almarhum Mas Bimo. Mugi sedanten amal-ibadahipun tansah pun tinampi dening Gusti Allah SWT.

Swargi langgeng, Mas Bim. Langgeng ing Jati????";HAM
Perlu terus diwaspadai kebijakan-kebijakan yang akan dibuat tentu harus menguntungkan mereka sebagai pembisnis sebab memihak kepada rakyat kecil menjadi tugas yang berat bagi mereka.;HAM
terbayang-bayang pak?;HAM
mas arip numpak motor blombongan, wong urip ora gor ngurusi balbalan ????;HAM
"Gais hihihi aku habis kena jambret ??
Cahol + PC taerae sama gaetolz ku sekarang hilang????";HAM
"Personil Satlantas Polres Tanjab Barat melaksanakan kegiatan Patroli Blue Light On memberikan rasa aman dan antisipasi gangguan kamseltibcarlantas aksi balap liar dan knalpot brong di Jl. Pelabuhan Roro Parit 7.
(16/7/2025) https://t.co/m5caY1KWMx";HAM
"Untaian harapan di tanah gersang, doa untuk PSS Sleman dalam mengarungi kompetisi yang akan datang, serta untuk saudara kami yang sudah berpulang. Juga akan ada pemberkatan bunga, ?????????????????????????? untuk membawa.

Siapkan kolekte terbaikmu. Berkah Dalem. ??????? https://t.co/tEu3rldccr";HAM
wong wong sing kenalpot e blombongan i golek opo yoo;HAM
"Informasi pendaftaran Away Surabaya. Silakan cermati terkait waktu, tempat dan tanggal pendaftaran.

Rek aku teko rek?????? https://t.co/I8apAqD0Mo";HAM
"lacakk lokasi orangg
•lacak hp hilang by no hp / imeii
•lacak penipu/scammer/tabrak lari/terror/revengeporn
•sadapp / hack / pulihkann akun
#zonauang";SPAM
"EYEKKAN NGLUWAR.
BAKUL SAYUR DIY JATENG BERSATU. AGENDAKAN @Jateng_Twit";HAM
"REVISI UU TNI-POLRI? RKUHP? 
Lawan diktator Jokowi-Prabowo!";HAM
"Sebentar lagi bakal ada Jalan Wisata baru dengan pemandangan yang, membelah perbukitan Prambanan. 
Progres Terkini Jalan Tembus Sleman-Guningkidul yang jalurnya mulai tersambung panjang. Jembatan tebing breksi sudah bisa dilewati lurr mulusss!

(Ariechidori) https://t.co/YMQWoEMEn8";HAM
@Beranda_Godean areamu jann losss tenan lik;HAM
wayahe supra blombongan plat abang tampil sek??;HAM
@hayru @mawbelz @sotaaoen *tngkep @mawbelz * ini bang jambret mangga dua;HAM
Untuk memperpanjang napas perlawanan, kita perlu membangun ekonomi kolektif. Ekonomi kolektif ini salah satunya kami aktualisasi melalui penjualan baju. Seluruh keuntungan produksi akan kami gunakan untuk Aliansi Jogja Memanggil dan gerakan-gerakan perlawanan lainnya.;HAM
"Pukul 03.05 WIB terpantau andong dengan info kusir e keturon, jarane geblas dewe lawan arus ning ring road
Jogja akhir-akhir iki sibuk bgt.. ?? https://t.co/lcLt8FRvoT";HAM
semoga wkt gue udh tua knalpot blombongan udh ga ada yaAllah takut mati krn jantungan;HAM
sebulan yang lalu jadi saksi mata anak laki SMP kecelakaan sampe tewas.. pagi ini jadi saksi mata anak laki SMA mau bunuh diri lompat dari jembatan.. sangat sangat bikin sesek..;HAM
@damsellaette @ssuarchaa_ SINI REP, malioboro nya sby ini;HAM
Kowe bakal angel bersyukur, nek wong liyo sek tok nggo tolak ukur;HAM
"@toe_giman Bayangkan, ini jambret di siang bolong, di pusat kota Jakarta, hanya berjarak tidak lebih dari 2km dari istana negara !!! 
Se-aman itu lah negara kita.";HAM
@sturzss Artjog tuh bagian mana... (MAAF BANGET MAKSUD AKU JALAN KEKNYA SOALNYA CUMAN TAU MALIOBORO);HAM
Pada hati-hati buat siapapun kalian. ??;HAM
@pzx1313 @merapi_uncover edan tenan nek isih berkeliaran;HAM
"Dalam kegiatan tersebut sasaran penertiban pelanggaran traffic light, Marka, kendaraan layak jalan, helm standar, knalpot brong dan surat-surat kendaraan. 

 @Spripim_Polri @jogjazebra
#patrolijogja #poldajogja #polresjogja #humaspolsekgk #polsekgondokusuman";HAM
selak ra sabar numpak f1zr blombongan karo nggowo piala;HAM
Jajaran Unitsamapta #polsektegalrejo dipimpin Panit 2 Samapta Aiptu Puput Tri Atmojo melaksanakan patroli dini hari di sejumlah titik potensi rawan, Jum'at (18/7/2025). Kegiatan ini sebagai langkah antisipasi terhadap gangguan kamtibmas seperti kejahatan jalanan https://t.co/eYGE0fHqjL;HAM
@NarasiNewsroom BABI BU BABU RAHMAN!;HAM
"@merapi_uncover Matur mawon ndak, nderek diaturke keatas dibuatkan operasi rutin juga patroli tidak ditempat. Kadose kok sakniki sampun jarang sekali ada operasi.
Knalpot blombongan, ora pake spion, ora ono plat nomer. Ndak selak menjadi budaya yang mengacuhkan peraturan berkendara yang baik.";HAM
"Keterlambatan melakukan latihan perdana tentu akan berdampak banyak pada performa musim yang akan datang. Kami ingin dalam minggu ini ada komunikasi yang terjalin maupun rilis resmi di sosial media. Mari bersinergi menjalani musim depan dengan penuh keyakinan! 

Ora muntir!";HAM
@gupolskuy Melu;HAM
semoga amal ibadah Faisal Basri diterima di sisi-Nya dan perlawanannya menjadi semangat anak muda untuk melawan penindasan.;HAM
"LOKER JOGJA TERBARU: Housekeeping di Radyoharto Hotel Malioboro by Parigata
#lokerjogja #lowongankerjajogja #loker #jogja #yogyakarta
https://t.co/AUeJoTULOm";SPAM
"Min mau laporan ada penipu di toko kami seputaran Tugu Jogja.. Modus penipuannya tukar yang receh, kejadiannya kemaren tgl 16/07/25 jam 11an siang
Jd dia dtg dg membawa uang receh 500 dan 1000 rp satu tas kresek besar.. Krn blm dihitung oleh pegawai kami trus dihitung, nah disitu mulai penipuannya.. Saya sertakan video dan foto CCTV nya ya min.. Mohon utk di up ya min, takutnya masih berkeliaran diluar dg modus yg sama..

Nah ini modus penipuannya min, tangan nya merogoh saku utk ditambahkan ke dalam topi.. Jd nanti didlm topi itu jd bertambah uangnya yg dihitung

Jd kan mrk hitung per 20rb, setiap 20rb itu 1koin dimasukkan ke topi, nanti stlh selesai penghitungan jumlah koin yg ada di dlm topi dihitung dikalikan 20rb,nah pada saat akhir sipenipu menambahkan gepokan koin dr sakunya trus dimasukkan ke topi nya.. Itu bisa dilihat dr video CCTV diatas min.. Saat pelaku merogoh uang koin disaku jaketnya trus dimasukkan ke topi terlihat jelass bangettt..

Dia berdua sama temannya min

(Tugu_point)";HAM
"lacakk lokasi orangg
•lacak hp hilang by no hp / imeii
•lacak penipu/scammer/tabrak lari/terror/revengeporn
•sadapp / hack / pulihkann akun
#zonauang";SPAM
@aadityaaaaw Wah ra gayeng yo;HAM
Turut berduka cita atas meninggalnya Pramudya Wisnu Aji salah satu anggota @GreenYouth_1976 . Almarhum mengalami kecelakaan saat perjalanan pulang selepas Away Madura tadi pagi. Semoga almarhum husnul khotimah dan keluarga yang ditinggalkan diberikan kesabaran????;HAM
"Tolong di up min, tolong juga jangan sebut username aku ya. Tq min. Sehat selalu

Min, aku mau cerita. Tadi malam aku lagi pengin cari udara segar, istirahat sebentar sambil duduk santai di kursi taman yang ada di area Pemda Sleman, tepatnya di depan kantor DLH Sleman. Tempat itu sebenarnya nyaman banget buat sekadar lepas penat. Lokasinya strategis, terbuka, dan yang paling penting, itu fasilitas publik. Artinya, siapa pun berhak duduk di sana tanpa harus keluar uang.

Tapi pas aku sampai di sana zonk dan putar balik, karena disana malah disambut pemandangan yang bikin kecewa. Kursi-kursi taman yang seharusnya bebas diakses semua orang justru sudah penuh dijejali kursi lipat milik pedagang kopi. Kursi-kursi mereka dibentangkan dari ujung ke ujung, memenuhi hampir seluruh area taman. Memang mereka tidak langsung mengklaim bahwa kursi taman itu milik mereka, dan mereka juga bawa kursi sendiri. Tapi dengan cara mereka menyusun lapak seperti itu itu, atmosfernya udah bikin siapa pun yang cuma mau duduk tanpa beli apa-apa jadi sungkan dan mikir dua kali.

Yang bikin makin miris, ini kan area publik, bukan tempat komersil. Tapi seolah sudah jadi tempat usaha pribadi. Aku jadi bertanya-tanya, apakah mereka memang punya izin resmi untuk menggelar lapak di situ? Dan kalau memang punya, siapa yang mengizinkan? Kenapa fasilitas publik seperti taman kota justru dikomersialisasi? Bukankah ruang publik seharusnya bebas dari kepentingan komersil? Tapi kalau ternyata tidak ada izin, kenapa bisa dibiarkan begitu saja?

Aku tidak sedang menyudutkan pedagang kaki lima atau pelaku UMKM. Aku sangat menghargai orang-orang yang bekerja keras cari nafkah. Tapi yang salah tetap harus disebut salah. Menempati ruang publik tanpa etika, apalagi sampai membuat orang lain tidak nyaman menggunakan fasilitas yang menjadi hak bersama, itu bukan cara yang benar. Ini bukan hanya soal duduk di kursi taman, tapi soal bagaimana kita bersama-sama menjaga ruang publik agar tetap bisa digunakan oleh semua kalangan tanpa syarat.

Aku harap pihak terkait di Sleman bisa lebih peka dan tegas. Bukan untuk menyulitkan orang berjualan, tapi untuk memastikan bahwa ruang publik tetap punya fungsi utamanya: menjadi tempat istirahat, berkumpul, atau bersantai bagi siapa pun, tanpa harus merasa terusik atau terpaksa beli sesuatu. Kalau ruang publik terus dibiarkan dikuasai oleh oknum, lama-lama orang jadi enggan peduli. Dan ketika masyarakat sudah kehilangan rasa memiliki terhadap ruang bersama, maka yang tersisa hanyalah kota yang dikuasai segelintir orang, bukan kota untuk semua.

Semoga ini bisa jadi catatan kecil untuk kita semua, terutama mereka yang punya wewenang menjaga wajah kota dan rasa nyaman warganya.

*ini adalah foto beberapa minggu yang lalu, kebetulan saya datang lebih awal sebelum mereka banyak menggelar lapak kopinya";HAM
motor2 yg knalpotnya blombongan rasanya pgn gw tembak bannya kl lewat, apalagi kl bocil lg tdur;HAM
Pajero Sport di Showroom Dihantam Innova Tabrak Lari, Airbag Mengembang https://t.co/OnjeV324vc;HAM
"Seperti tulisan dalam baju ini, ""Tidak ada pemerintah yang berniat baik, mereka harus kita paksa menjadi baik"", maka rakyat harus melawan kekuasaan sampai menang. https://t.co/Svu0ZoEQmN";HAM
Jalur dan Titik Keberangkatan Trans Jogja Melewati Kampus, Sekolah, Rumah Sakit, dan Malioboro https://t.co/bcztR3TuXV https://t.co/JrqI6E2RFv;HAM
@xxakuaaprill @kareseia sak plintengan;HAM
@Ngizudinn woosiapp likk ??????;HAM
@ddbyli Orgil banget orang kecelakaan malah dijadiin bahan shipping ???????? shipper kpop juga gak akan segila itu kayanya. Rasa ingin pulang makin tinggi sih kalo gitu mah;HAM
@merapi_uncover Mbok Knalpot Blombongan karo sing Mbrebegi Pak, di razia. Marahi panik, kecelakaan.;HAM
Memang sudah sampai mana pembenahannya?;HAM
Polsek Kedamean Laksanakan Patroli Dialogis, Wujudkan Keamanan dan Kedekatan dengan Masyarakat, antisipasi gesekan antar perguruan silat dan kejahatan jalanan (17/07/2025) #polriuntukmasyarakat https://t.co/Is7LKEIGqo;HAM
Marsinah dibunuh Dwifungsi tentara.;HAM
org yg pake knalpot brong gada bedanya kek sound horeg alias kontol;HAM
@toe_giman Liat jambret diklaksonin..;HAM
Ming sing otewe seko jalan solo ,cari jalan lain dulu tadi ada truck muatan pasir kemungkinan patah as roda ,deket lampu merah bandara adisucipto https://t.co/3Blt1wawMj;HAM
@Denisulistyo999 Tuekan kakean polah;HAM
@Mdy_Asmara1701 Kayae bnyak yg di dramatisir krn ltar belakang korban saja, gorden gerak kan krn ktiup angin dri luar, menurut ku sih ini kecelakaan saja, dia lilitkan lakban untuk nguranggi rasa sakit kepala nya,tp pas tertidur, lakban tanpa sengaja menutup jln nafas nya, hingga mati lemas. ??;HAM
"Memberikan Teguran Secara Tertulis Kepada Pelanggar Yang Tidak Menggunakan Helm Standar Nasional Indonesia (SNI), Tidak dilengkapi TNKB, dan Menggunakan Knalpot Brong
Kegiatan ini dilakukan dalam rangka Antisipasi Gangguan Kamtibmas serta menurunkan tingkat kecelakaan lalu lintas https://t.co/OUcFXAGAAi";HAM
"Assalamualaikum warahmatullahi wabarakatuh
Jika ada kampung/dusun di daerah Kulonprogo atau Gunungkidul yang belum memiliki masjid silahkan DM saya.
Kebetulan saya bekerja di sebuah lembaga zakat dan ada program tersebut
Terimakasih ??

@ditwicak";SPAM
Jadwal Bus Sinar Jaya dari Malioboro ke Parangtrtis Bantul Hari Ini, Jumat 18 Juli 2025 https://t.co/Vj1EX6WUvK https://t.co/fXTXiGc810;HAM
@intakblokM jogja aja udah,nnti dia naik delman di malioboro cobain kopi areng;HAM
"Memberikan Teguran Secara Tertulis Kepada Pelanggar Yang Tidak Menggunakan Helm Standar Nasional Indonesia (SNI), Tidak dilengkapi TNKB, dan Menggunakan Knalpot Brong
Kegiatan ini dilakukan dalam rangka Antisipasi Gangguan Kamtibmas serta menurunkan tingkat kecelakaan lalu lintas https://t.co/EUYyzkxuGg";HAM
"@Brajamusti_YK @S1H_Slemania Mari kita ciptakan suasana yang kondusif khususnya di Daerah Istimewa Yogyakarta agar kelak generasi kita selanjutnya dapat menikmati sepak bola sebaik-baiknya.

Tunggu kami kembali mbah??

BCS! ORA MUNTIR!";HAM
"Selokan Van Der Wijk dibangun jauh sebelum Selokan Mataram, yaitu pada masa Hindia Belanda, sekitar tahun 1901. Selokan ini dinamai dari seorang insinyur Belanda, Van Der Wijk, yang terlibat dalam proyek ini. Fungsinya adalah untuk mengalirkan air dari Sungai Progo menuju wilayah perkebunan tebu dan area pertanian Belanda.

Selokan Mataram dibangun pada masa pendudukan Jepang (1942–1945). Saat itu, rakyat Yogyakarta terancam dikirim sebagai romusha (kerja paksa) ke luar Jawa. Untuk melindungi rakyatnya, Sri Sultan Hamengkubuwono IX mengusulkan proyek pembuatan saluran irigasi sebagai pengganti pengiriman tenaga kerja ke luar daerah.

Membentang sepanjang ±31,2 km dari Sungai Progo (barat) hingga Sungai Opak (timur), melewati Kabupaten Sleman, Kota Yogyakarta, hingga Kabupaten Bantul.

(Sadat_situmorang)";HAM
@ArisIchsan @merapi_uncover nyimak lurrr;HAM
@cumonzaa Malioboro enak sendirian;HAM
"Malam kak, info telah terjadi Pencurian tabung gas di rumah. Kejadian hari ini kamis 17 juli 2025. 
jam 17:10 - 17:15.
Sebelumnya dari pantulan kaca pigura yg bersangkutan bolak balik. Sengaja akan mencuri.
Area pencurian jl bandengraya Minomartani Ngaglik Sleman Yogyakarta.
Semoga pencurinya segera ditemukan cukup meresahkan.
Terlampir video cctv dan fotonya";HAM
@Jateng_Twit @kareseia Ayo gas lik;HAM
@BRIGSER_1976 @Sambodja1976 @southgatebois @GreenFalco12 Wah ora diajak;HAM
Satgas Ops Patuh Tinombala terus gencar memberikan edukasi keselamatan berlalu lintas demi menekan angka kecelakaan di jalan. https://t.co/NZVEczyD8G;HAM
kayanya udah harus potong rambut deh, terakhir potong rambut pas di jambret itu ??;HAM
"Pukul 05;58 pagi tadi terjadi kecelakaan di ringroad  ,selatan per4an kotagede yogyakarta, hati hati saat berkendara

(Makhsun_2) https://t.co/x7NLMO8krq";HAM
Tolong untuk bantu share info donor darah? pure acara sosial, free, dan dapet konsum, goodie bag, sama doorprize melimpahh, thankyou  //@kareseia https://t.co/66knp3ZMV0;SPAM
@merapi_uncover partai blombongan siang hari aja pada di tangkepin, ini dini hari ngga diingetin sama sekali?;HAM
"Personil Satlantas Polres Tanjab Barat melaksanakan kegiatan Patroli Blue Light On memberikan rasa aman dan antisipasi gangguan kamseltibcarlantas aksi balap liar dan knalpot brong di Alun-alun Kota Kuala Tungkal.
(16/7/2025) https://t.co/z9vKULlxwP";HAM
@prominenncee @aduhyangmanayah JAMBRET ANAK TEKNIK SEMUA. AKU LUPA. Soon https://t.co/ErHrs2j7CE;HAM
"? lacak lokasi orang
? lacak hp hilang by no hp / imei
? lacak penipu/scammer/tabrak lari/terror/revengeporn 
? sadap / hack / pulihkan akun
[ WA DI PROFIL ?? ] -x2222

?? https://t.co/e09Xu8oZLt https://t.co/cuLhKUcZ7W";SPAM
Knalpot brong bangsat;HAM
"Patroli wilayah personil samapta poksek Pakualaman  dipimpin aiptu teguh bersama anggotanya melaksanakan patroli sambang dialogis tempat pengisihan bahan bakar  (SPBU) Sentul jl sultan agung. 
Antisipasi kerawanan maupun kejahatan jalanan 
Kamis 17/07/2025 malam. https://t.co/r7nUXgTFNG";HAM
"Matur nuwun @Green_Nord27 @TribunKidulSby @GateJhoner21 @bonekcasuals dan seluruh elemen suporter Persebaya serta masyarakat Surabaya atas keramahtahamannya. 

Sampai berjumpa di lain waktu, sehat selalu!???? https://t.co/dGqdwZ39R6";HAM
"YOH MLEBU, PEMANASAN???

#PSSday";HAM
"Tiba waktunya bertemu kembali????

Kulonuwun @Green_Nord27 @TribunKidulSby @GateJhoner21 @bonekcasuals dan seluruh elemen suporter Persebaya serta masyarakat Surabaya.

#PSSday https://t.co/QQ4q0s0oyH";HAM
"Laka tunggal di jl. Kaliurang km21 kejadian kurang lebih pukul 02.40 an, kejadian di jalan gelap sehingga kurang terpantau pengendara, sudah terkondisi dan dilarikan ke RSPN Pakem. Korban mengalami luka bagian kepala 

Pengkondisian oleh
Sarlinmas Kaliurang
Ambulance Bu rita Pantiasih
Satlantas Polsek Pakem";HAM
"[Breaking News] 00:24 Telah terjadi laka lintas di jl solo,jogonalan, truck menabrak mobil pickup yang sedang terparkir di pinggir jalan, di duga sopir truk mengantuk

(Tegarawesomee_) https://t.co/TdN8OBZAz6";HAM
"terjadi laka di jalan Cendana depan Warmindo Jinggo pada jam 23:17. motor vespa matic dan mobil adu banteng. mobil terlalu mememakan jalan padahal didepan ada motor. kondisi mobil dan motor rusak parah. pengendara motor luka bagian kaki dan gigi

(Ell.ajaaaaaa_) https://t.co/YNps1Ij70S";HAM
"Lagi ngopo?

Lagi berusaha berdamai karo keadaan, berdamai karo sesuatu sing ora isoh di ubah, ngikhlaske opo sing wis kedaden lan ora mekso sesuatu sing ora ditakdirke nggo aku";HAM
"Gunung Merapi ora nate lali janji. Tumindak kanthi sabar, nanging mesthi ana wektu lan tandha-tandhane.

?? Tol Khayangan - Magelang

(Ianpr.a) https://t.co/zYgQaNRQgF";HAM
"KIRAB AGENG [Metri Bumi Merapi] ??

Kirab yang diadakan setiap tahun di bumi merapi,bentuk rasa syukur daripada hasil panen di bumi merapi,dengan harapan semakin berkah berbuah berbarokah.

??Ds Tegalmulyo Kec Kemalang Kab Klaten.

(Wildmooss) https://t.co/73OpdqxX8B";HAM
"Selamat malam min, sedikit cerita ya min. Td sore saya sama temen saya berboncengan motor. Kebetulan saya yg ada dibelakang. Saat itu kami melewati kota gede. Dr arah barat ada motor yg berlawanan arah berboncengan juga mereka hampir kena senar layangan putus tetapi mereka bisa menghindar. Sebenaranya saya dan teman saya sudah melihat kalo senar itu hampir mengenai pemotor itu namun karena senarnya ga terlalu kelihatan saya dan teman saya tdk bisa menghindar untungnya teman saya tidak kena. Sayangnya saya yg kena diarea dahi dan atas mata sedikit. Saya meminta teman saya untuk berhenti niatnya mau saya tangkap senar itu tp sayangnya sudah hilang entah terbang kemana. Alhamdulillahnya saya tidak apa² hanya perih dan sepertinya ada bekas mblaret didahi dan atas mata sedikit. 
Himbauan untuk masyarakat jika ingin menerbangkan layangan boleh saja tp hati² jika layangan putus takutnya membahayakan masyarakat sekitar khususnya dijalanan. Sudah banyak yg menjadi korban salah satunya saya??";HAM
"URGENT!!

Telah hilang SPM Honda CRF AB 2919 BP warna Hitam Merah milik Relawan PMI Bantul a.n David Andreas Hilang pada hari Minggu, 20 Juli 2025 Pukul 20.12 WIB

Lokasi kehilangan di Area Parkir UTD PMI Bantul.

Bilamana ada yang mengetahui, mohon menghubungi no WA:
08112948118 
[Posko PMI Bantul]";HAM
"[Breaking News] 20:13  terjadi kebakaran warung pecel lele depan Nugrha Stasionari , timur pojok beteng kulon, saat ini masih di lakukan pemadaman

(fagungw) https://t.co/ZO29n0tX5q";HAM
"Dimana saja yang menyelenggarakan Nobar Timnas Indonesia U 23 vs Malaysia U23

(Senin | 21 Juli 2025 | 19:00 wib) https://t.co/CfgN7uJIf0";HAM
"[Video] 16: 12 terjadi kecelakaan di Jalan Kaliurang tepatnya di Pakem Sleman sore tadi , lalu lintas sempat tersendat untuk evakuasi korban 
terlihat juga dua ambulan evakuasi  korban laka tersebut . https://t.co/Udo1t9Y1oz";HAM
"[Breaking News] sore tadi Wetan kantor pos kota gede yg punya mebel 3 hari gak kelihatan sekarang baru didobrak sama Polsek kota gede kemungkinan sudah 3 hari MD. 

(asyamrafi43) https://t.co/tzF4LHUoqW";HAM
"Kalo ada gangguan, mereka gapunya alternatif lain. Satu-satunya kemungkinan, ya cuma punah. That's why, pulau kecil tu dilindungi undang-undang.

Tapi, Andi Sumangerukka dan Ahmad Fachruz Zaman kelewat  rakus. Anak bule!";HAM
Spesies di pulau kecil kayak Kabaena dan Gag itu gapunya tempat bermigrasi saat kondisi lingkungan berubah drastis. Lebih-lebih mereka tumbuh dan berkembang dengan peran ekologis yg spesifik. Mereka amat bergantung sama kondisi lokal.;HAM
"Kembali terjadi lagi , kejadian mengancam keselamatan jiwa bagi wisatawan pada Minggu 20 Juli 2025

Petugas sar parangtritis ( satlinmas rescue istimewa ) dan petugas sar ditpolair polda diy berenang ketengah laut menggunakan papan surfing untuk menyelamatkan wisatawan asing , wisatawan tersebut dapat terselamtkan dan diberikan edukasi terkait keamanan wisata pantai di yogyakarta

Kronologi : wisatawan tersebut datang bersama temannya untuk berlibur di pantai parangtritis , menggunakan kendaraan pribadi , sampai dipantai parangtritis sekira 15.30 WIB , langsung menjju kepantai dan berenang, namun wisatawan tersebut berenang terlalu jauh dan justru mengarah kelokasi ripcurrent, tentu hal itu menjadi hal yang sangat berbahaya, wisatawan tersebut belum sadar dan tidak merasa dalam bahaya, namun petugas menyusul berenang ke tengah laut atas dasar keselamatan dan menghindari hal hal yang tidak diinginkan, wisatawan tersebut kemudian di edukasi diposko terpadu satlinmas rescue istimewa wilayah III dan kemudian kembali melanjutkan perjalanan

(Sarparangtritis_)";HAM
Ia (kekhawatiran) muncul nggak selalu proporsional sama realita. Ia berangkat dari nilai-nilai pribadi yang dipegang oleh si khawatir. Itu salah satu dari banyak pasal yang ngebuat posisi kita jadi rentan. Bukan karena kita si penjahat. Tapi karena kita sipil.;HAM
"Tabe' kawanku. Propertimu bisa digeledah ""tanpa izin pengadilan"" berlandaskan ""kekhawatiran"". Sedang kekhawatiran selalu bersifat subjektif. Meski kadang bisa dipicu dari hal-hal eksternal, namun, ia muncul dari cara seseorang memaknai atau menilai sesuatu
https://t.co/EzDDrLijdG https://t.co/kg1rucmk4D";HAM
"Separagraf soal perayaan kekuasaan. Selebihnya, rakyat cuma figuran yang ga dikasih naskah skenario. Al-fatihah. 
https://t.co/1a8WB2IFVn https://t.co/1GiXGRleQA";HAM
@pryghndr Nek iki jelas wis rame diserang cah-cah;HAM
@rayhaanaglar Hambuh, sori udu bakul;HAM
"Langsung rekomendasi nyerang soto lik!??

#PSSday";HAM
"minta tolong bantuin share ya teman teman ku semuanya??????

@sheillaishary_ https://t.co/6tVFJiSFfF";HAM
RODO PENTING IKI LURR... https://t.co/QiRTLkGqap;HAM
"Breaking News] 06:42 Satu larangan ribuan sopir terancam dirumahkan. 
Ratusan Po bus, 500 TL biro dan Jeep merapi masing masing basecamp 3 orang hari ini menyampaikan aspirasi di Kantor Gubernur Bandung Jawa Barat adapun point penting yang akan di sampaikan adalah pencabutan SE:45 PK.03.03/6 Mei 2025 (poin ke 3).";HAM
"RAJA YUNAN NKRI???? TURUT MENGUCAPKAN BERDUKA ATAS TUTUP USIA NYA PANGGERAN ARAB SAUDI YANG KOMA 20 TAHUN ,YANG DI TINGGALKAN DIBERIKAN KETABAHAN SEDALAM-DALAM NYA 
Pangeran Arab Saudi Meninggal Dunia Usai 20 Tahun Koma, Dulu Alami Kecelakaan Saat Remaja https://t.co/WbfKIq220t";HAM
@ArsenGiandra Bro memilih playon sempakan pitung kilo;HAM
Juhh ndlogok tenan nek iki..?? https://t.co/X6jzNsgo7D;HAM
Sisih kidul yo ragelem kalah ?? https://t.co/5V29QkQliZ;HAM
euforia ngejar tabrak lari itu masih ada wkwk soale ketangkep;HAM
"Ohh, emang saiki iso ngene ya? ??
(Bertanya dengan nada sopan) https://t.co/vFr6c0KoYu";HAM
@dhiezmdfk Gek mbuh ktwngi;HAM
Intine nek koe bengi meh lungo nek ra penting² banget, mending ng ngomah https://t.co/bPjbHjxfQQ;HAM
Satuan Lalu Lintas Polres Sibolga Laksanakan Blue Light Patrol, Cegah Kejahatan Jalanan https://t.co/IuealJk1eF;HAM
"??? Tol Solo-Jogja seksi Klaten-Jogonalan, Kec Karangnongko, Kab Klaten

(Pras_djoyobisono) https://t.co/RYmyvgW9wQ";HAM
"Kabel di dekat Warmindo karyamukti jalan palagan sariharjo sleman terlihat Semrawut min

(Mas.koko_06) https://t.co/SkUhFWqQNk";HAM
"Cuma 2 jam kok dari jogja ??
emang best view nih kampung ?????? 
.
??Nepal Van Java

(Masmeya) https://t.co/2dlu0NMTWe";HAM
Update kebakaran di Jokteng kulon Yogyakarta sudah berhasil di padamkan https://t.co/p2MHGHFL9r;HAM
Mending knalpot brong;HAM
Pukul 16:27 Min izin sahre jls kulon prgo macet acara layang layang, ada yg jatuh layangannya dan jadi macet https://t.co/ZWIaLGyCQ6;HAM
